id,funded_amount,loan_amount,activity,sector,use,country_code,borrower_genders,date,polarity_score,neutral,negative,positive,sentiment
909197,475.0,600.0,Clothing Sales,Clothing,"to purchase an assortment of stock (clothing, perfumes, accessories and lingerie)",CO,female,2015-06-26,0.0,1.0,0.0,0.0,Neutral
1020840,2175.0,2175.0,Agriculture,Agriculture,To expand her paddy business,IN,"female, female, female, female, female, female, female, female, female, female",2016-02-10,0.0,1.0,0.0,0.0,Neutral
1147690,1050.0,1050.0,Pharmacy,Health,to add in other different types of drugs that will attract her customers.,UG,female,2016-09-08,0.0,1.0,0.0,0.0,Neutral
793918,1600.0,1600.0,Dairy,Agriculture,to buy two dairy cows so that she can sell milk and earn more income.,SV,female,2014-11-04,0.0,1.0,0.0,0.0,Neutral
1022765,600.0,600.0,General Store,Retail,to buy more stock,UG,male,2016-02-15,0.0,1.0,0.0,0.0,Neutral
667390,200.0,200.0,Fruits & Vegetables,Food,To buy vegetables to set up a newly opened vegetable shop. ,PK,female,2014-02-10,0.0,1.0,0.0,0.0,Neutral
991486,325.0,325.0,General Store,Retail,"to buy items to sell such as beverages, canned goods, junk foods, home care products, and other groceries.",PH,female,2015-12-08,0.0,1.0,0.0,0.0,Neutral
728897,250.0,250.0,General Store,Retail,"to buy more items to sell like canned goods, eggs, chips, soft drinks, etc",PH,female,2014-06-22,0.0,1.0,0.0,0.0,Neutral
1157432,850.0,850.0,Higher education costs,Education,to pay the contract for his younger brother's studies.,TJ,male,2016-09-26,0.0,1.0,0.0,0.0,Neutral
1320690,125.0,525.0,Food Market,Food,"to buy 10 cartons of spaghetti, 5 bags of rice, 15 cartons of canned tomatoes and 10 containers of oil.",TG,female,2017-06-15,0.0,1.0,0.0,0.0,Neutral
1323533,125.0,125.0,Food Stall,Food,"to buys 2 sacks of rice, 7 kilos of pork meat, 6 kilos of chicken and 5 kilos of fish to be able to prepare breakfast items to sell to her customers.",PH,female,2017-06-20,0.0,1.0,0.0,0.0,Neutral
1276834,2075.0,2075.0,Beekeeping,Agriculture,to purchase 12 beehives with bee families as well as buy an extra cow to develop the farm ,AM,female,2017-04-10,0.0,1.0,0.0,0.0,Neutral
887407,350.0,350.0,General Store,Retail,"to buy items to sell like canned goods, personal care products, etc. to sell in her store.",PH,female,2015-05-19,0.0,1.0,0.0,0.0,Neutral
907580,3200.0,3200.0,Fruits & Vegetables,Food,to buy fruit in bulk,BO,"female, male, female, female, female, female, female, female",2015-06-24,0.0,1.0,0.0,0.0,Neutral
1054197,600.0,600.0,General Store,Retail,to purchase more groceries to sell.,PH,female,2016-04-14,0.0,1.0,0.0,0.0,Neutral
1077851,150.0,300.0,Fish Selling,Food,to buy a variety of fish and other supplies needed in her business.,PH,female,2016-05-29,0.0,1.0,0.0,0.0,Neutral
1103535,575.0,575.0,Cattle,Agriculture,to buy a calf.,EG,male,2016-06-21,0.0,1.0,0.0,0.0,Neutral
1215051,150.0,150.0,Clothing Sales,Clothing,to purchase dresses and men's clothes and shoes to sell.,KE,female,2017-01-04,0.0,1.0,0.0,0.0,Neutral
